num_leaves,coord_1,coord_2,coord_3,coord_4,coord_5,coord_6,coord_7,coord_8,coord_9
"((3:2691489.3616919,0:2691489.3616919):1496652.2723347382,(1:3957446.8084956002,2:3957446.8084956002):230694.82606295316):0;",0.0,2691489.3616919,2691489.3616919,1.0,3957446.8084956002,3957446.8084956002,0.0,1496652.2723347382,230694.82606295316
"(0:7912129.5691188695,(1:4459932.25955752,(2:3914893.6170064,3:3914893.6170064):545038.6429766522):3452197.30849752):0;",0.0,3914893.6170064,3914893.6170064,1.0,4459932.25955752,545038.6429766522,2.0,7912129.5691188695,3452197.30849752
"((0:4361702.127643,2:4361702.127643):2063360.1361623718,(1:6191489.361678599,3:6191489.361678599):233572.90212677198):0;",0.0,6191489.361678599,6191489.361678599,0.0,4361702.127643,4361702.127643,1.0,2063360.1361623718,233572.90212677198
"((0:4996453.901044843,3:4996453.901044843):1788652.481908097,(1:4287234.042536899,2:4287234.042536899):2497872.34041604):0;",0.0,4996453.901044843,4996453.901044843,1.0,4287234.042536899,4287234.042536899,0.0,1788652.481908097,2497872.34041604
"(((0:4255319.1489200005,2:4255319.1489200005):797872.3404225,3:5053191.4893424995):759254.6493588169,1:5812446.138275785):0;",0.0,4255319.1489200005,4255319.1489200005,0.0,797872.3404225,5053191.4893424995,3.0,759254.6493588169,5812446.138275785
"((0:4824915.090407197,(1:4744680.8510458,2:4744680.8510458):80234.23897841852):3515868.0457313205,3:8340783.136138517):0;",0.0,4744680.8510458,4744680.8510458,1.0,4824915.090407197,80234.23897841852,4.0,3515868.0457313205,8340783.136138517
"((1:2458019.917011936,(2:1882978.7233971,3:1882978.7233971):575041.1939339851):271133.318509608,0:2729153.236159842):0;",0.0,1882978.7233971,1882978.7233971,1.0,2458019.917011936,575041.1939339851,2.0,2729153.236159842,271133.318509608
"(((0:3198581.560626143,3:3198581.560626143):870567.3758477557,2:4069148.9361547497):1179787.23403807,1:5248936.17019282):0;",0.0,3198581.560626143,3198581.560626143,0.0,870567.3758477557,4069148.9361547497,0.0,1179787.23403807,5248936.17019282
"((0:2515957.44679895,(1:1765957.4468018,2:1765957.4468018):749999.99999715):881914.89361367,3:3397872.34041262):0;",0.0,1765957.4468018,1765957.4468018,1.0,2515957.44679895,749999.99999715,4.0,881914.89361367,3397872.34041262
"(0:4904602.422321788,((1:2127659.5744600003,2:2127659.5744600003):170791.27138232972,3:2298450.8457359467):2606151.5765858414):0;",0.0,2127659.5744600003,2127659.5744600003,1.0,170791.27138232972,2298450.8457359467,3.0,4904602.422321788,2606151.5765858414
"(((2:1819148.9361633,0:1819148.9361633):1594390.971270537,1:3413539.907433837):561972.8695723326,3:3975512.776580638):0;",0.0,1819148.9361633,1819148.9361633,0.0,1594390.971270537,3413539.907433837,4.0,561972.8695723326,3975512.776580638
