SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology
3919148.93615532,2138297.8723323,2138297.8723323,3558510.63828435,0.0,0.0,1420212.76595205,0.0,0.0,0.0,0.0,0.0,0.0,360638.29787097,"(((HLE,NLE),HMO),SSY)"
5429632.057426176,4723404.255301201,5596897.135085114,4723404.255301201,0.0,0.0,0.0,0.0,706227.8021249758,0.0,0.0,167265.07787170482,0.0,0.0,"(((HLE,HMO),SSY),NLE)"
2319148.9361614003,2328530.672331577,2762824.5382873737,2319148.9361614003,0.0,0.0,0.0,9381.736224432434,0.0,0.0,0.0,434293.86553026456,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
3340017.869136244,3023426.591477873,2276595.7446722,2276595.7446722,0.0,0.0,0.0,0.0,0.0,746830.8465929067,0.0,0.0,0.0,316591.27744560543,"(((NLE,HMO),HLE),SSY)"
6212765.9574232,3265957.4467960997,3265957.4467960997,4904255.319130301,0.0,0.0,1638297.8723342,0.0,0.0,0.0,0.0,0.0,0.0,1308510.6382929,"(((HLE,NLE),HMO),SSY)"
4530405.696791295,3914893.6170064,3914893.6170064,5533137.035085357,0.0,0.0,615512.0794657462,0.0,0.0,0.0,1002731.3384004451,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
5340425.5318946,5340425.5318946,5638297.872319,5638297.872319,1212765.9574422,0.0,0.0,0.0,0.0,914893.6170178,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
4553191.4893444,2202127.6595660998,2202127.6595660998,4553191.4893444,0.0,0.0,2436542.384033294,85478.55387201562,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
3202127.6595623,4510638.2978552,3202127.6595623,7104255.31912194,0.0,1308510.6382929,0.0,0.0,0.0,0.0,2593617.0212667403,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
7893617.021246601,8074659.590394848,7042553.191462601,7042553.191462601,0.0,0.0,0.0,0.0,0.0,851063.8297840001,0.0,0.0,181042.56968016308,0.0,"(((NLE,HMO),SSY),HLE)"
3602127.65956078,1712765.9574403001,1712765.9574403001,2941489.36169095,0.0,0.0,1228723.40425065,0.0,0.0,0.0,0.0,0.0,0.0,660638.29786983,"(((HLE,NLE),HMO),SSY)"
6158596.730827661,5602836.879765944,6640728.081889658,5602836.879765944,0.0,0.0,0.0,0.0,555759.8514872498,0.0,0.0,482131.3511683807,0.0,0.0,"(((HLE,HMO),SSY),NLE)"
3202127.6595623,3202127.6595623,4276595.7446646,5612765.957425481,1074468.0851023002,0.0,0.0,0.0,0.0,0.0,1336170.21276088,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)"
5669796.512744413,3577782.9329651278,5576954.220191574,3577782.9329651278,0.0,0.0,0.0,0.0,1999171.2882902757,0.0,0.0,0.0,0.0,92842.29193581741,"(((HLE,HMO),NLE),SSY)"
4819148.9361519,4819148.9361519,3109929.077647757,3109929.077647757,1836170.2127589802,0.0,0.0,0.0,0.0,3545390.0712631233,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
5968085.1063603,4893617.021258,4893617.021258,6216691.866997654,0.0,0.0,1074468.0851023002,0.0,0.0,0.0,248606.76074373614,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
6734042.5531659,6734042.5531659,5351063.8297669,5351063.8297669,31046.20582966926,0.0,0.0,0.0,0.0,1414024.9287180312,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
5810972.849977918,6249201.16486987,6036531.541466423,5810972.849977918,0.0,0.0,0.0,225558.69095658968,0.0,0.0,0.0,0.0,212669.62297791525,0.0,"(((SSY,HMO),NLE),HLE)"
2776595.7446703,4419379.673387461,3231671.4010515492,2776595.7446703,0.0,0.0,0.0,455075.6560621005,0.0,0.0,0.0,0.0,1187708.2733997419,0.0,"(((SSY,HMO),NLE),HLE)"
4276595.7446646,4276595.7446646,5797872.3404035,5797872.3404035,2361702.1276506004,0.0,0.0,0.0,0.0,840425.5319117,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
4265957.4467923,4265957.4467923,4265957.4467923,4265957.4467923,0.0,0.0,881001.901166865,881001.901166865,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
2308510.6382891,1776595.7446741,1776595.7446741,6514893.61699652,0.0,0.0,531914.8936150001,0.0,0.0,0.0,4206382.97870742,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
7454787.234014225,7559717.61699255,5797872.3404035,5797872.3404035,0.0,0.0,0.0,0.0,0.0,1656914.8936107252,0.0,0.0,104930.3833187502,0.0,"(((NLE,HMO),SSY),HLE)"
6074468.0850833,6074468.0850833,6112437.801040603,6086742.7010407,12274.615553144846,0.0,0.0,0.0,0.0,0.0,0.0,25695.10006373215,0.0,0.0,"(((SSY,HLE),HMO),NLE)"
6414893.6169969,5382978.7233838,5382978.7233838,7499999.9999715,0.0,0.0,1031914.8936131,0.0,0.0,0.0,1085106.3829746002,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
5999999.9999772,7064743.190398687,6869680.851037725,5999999.9999772,0.0,0.0,0.0,869680.8510605249,0.0,0.0,0.0,0.0,195062.33893542897,0.0,"(((SSY,HMO),NLE),HLE)"
4510638.2978552,5702127.6595528005,6256380.570188992,4510638.2978552,0.0,0.0,0.0,1191489.3616976,0.0,0.0,0.0,554252.9104234257,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
3617021.276582,5031914.8935979,5805023.381892835,3617021.276582,0.0,0.0,0.0,1414893.6170159,0.0,0.0,0.0,773108.4879757856,0.0,0.0,"(((SSY,HMO),HLE),NLE)"
6411347.518060744,6457446.8084861,6457446.8084861,6411347.518060744,0.0,0.0,1568085.10637702,1614184.3968023767,0.0,0.0,0.0,0.0,0.0,0.0,"((SSY,HMO),(HLE,NLE))"
7106382.9786964,5617021.2765744,4382978.723387601,4382978.723387601,0.0,0.0,0.0,0.0,0.0,1234042.5531868,0.0,0.0,0.0,1489361.702122,"(((NLE,HMO),HLE),SSY)"
5297872.3404054,3872340.4255172,3872340.4255172,5494419.3595535895,0.0,0.0,1425531.9148882001,0.0,0.0,0.0,196547.01946733825,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)"
1882978.7233971,2464539.0074374434,1882978.7233971,3102146.8361584246,0.0,581560.2837211944,0.0,0.0,0.0,0.0,637607.8294656621,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)"
6491128.562741291,3326676.6606256566,3308510.6382852998,3308510.6382852998,0.0,0.0,0.0,0.0,0.0,18166.02239354799,0.0,0.0,0.0,3164451.9021156346,"(((NLE,HMO),HLE),SSY)"
5156686.853171893,4670212.7659396995,4670212.7659396995,4875569.876577217,0.0,0.0,205357.11085028347,0.0,0.0,0.0,0.0,0.0,0.0,281116.9763819105,"(((HLE,NLE),HMO),SSY)"
3957446.8084956002,3957446.8084956002,2691489.3616919,2691489.3616919,230694.82606295316,0.0,0.0,0.0,0.0,1496652.2723347382,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))"
