SSY,HLE,NLE,HMO,SSY-HLE,SSY-NLE,HLE-NLE,SSY-HMO,HLE-HMO,NLE-HMO,SSY-HLE-NLE,SSY-HLE-HMO,SSY-NLE-HMO,HLE-NLE-HMO,topology,simulated
1914893.617014,5861702.127637300,1914893.617014,5297872.3404054,0.0,3382978.7233914,0.0,0.0,0.0,0.0,0.0,0.0,563829.7872319,0.0,"(((SSY,NLE),HMO),HLE)",0
5744680.851042000,6606382.9786983,5744680.851042000,6640478.791464130,0.0,861702.1276563,0.0,0.0,0.0,0.0,34095.81284029600,0.0,0.0,0.0,"(((SSY,NLE),HLE),HMO)",0
5602227.927638290,2203679.790417160,7686037.661672920,2203679.790417160,0.0,0.0,0.0,0.0,3398548.1372211300,0.0,0.0,2083809.734034640,0.0,0.0,"(((HLE,HMO),SSY),NLE)",0
5499999.9999791,5499999.9999791,6294326.241465440,7242192.69997248,794326.2411671940,0.0,0.0,0.0,0.0,0.0,947866.4588261850,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)",0
5564803.697851190,5010638.297853300,5307512.619128770,5010638.297853300,0.0,0.0,0.0,0.0,296874.32116908500,0.0,0.0,0.0,0.0,257291.0784032780,"(((HLE,HMO),NLE),SSY)",0
6808510.6382720000,9438297.87230456,8797872.3403921,6808510.6382720000,0.0,0.0,0.0,1989361.7021201,0.0,0.0,0.0,0.0,640425.53191246,0.0,"(((SSY,HMO),NLE),HLE)",0
3287234.0425407000,4299998.581898550,3829786.474453530,3287234.0425407000,0.0,0.0,0.0,542552.432019215,0.0,0.0,0.0,0.0,470212.1077641710,0.0,"(((SSY,HMO),NLE),HLE)",0
5904255.319126500,8244680.8510325,5904255.319126500,8244680.8510325,0.0,2770212.76594692,0.0,0.0,429787.23404092,0.0,0.0,0.0,0.0,0.0,"((SSY,NLE),(HLE,HMO))",0
4808510.6382796,4808510.6382796,6975766.06380328,5177154.388278200,368643.7494666840,0.0,0.0,0.0,0.0,0.0,0.0,1798611.6755250800,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
7096047.147845380,7096047.147845380,7853735.92975739,7667780.041460220,571732.8939339980,0.0,0.0,0.0,0.0,0.0,0.0,185955.8878716340,0.0,0.0,"(((SSY,HLE),HMO),NLE)",0
5162112.278703790,8034657.7797567000,5162112.278703790,5716194.564871900,0.0,554082.2864872560,0.0,0.0,0.0,0.0,0.0,0.0,2318463.214884810,0.0,"(((SSY,NLE),HMO),HLE)",0
4801418.439343460,6623958.773379090,5391650.594660360,4801418.439343460,0.0,0.0,0.0,590232.1547849910,0.0,0.0,0.0,0.0,1232308.1787187200,0.0,"(((SSY,HMO),NLE),HLE)",0
5372340.4255115,5390070.922319940,5372340.4255115,5390070.922319940,0.0,604255.31914664,0.0,0.0,586524.8226573460,0.0,0.0,0.0,0.0,0.0,"((SSY,NLE),(HLE,HMO))",0
1797872.3404187,1797872.3404187,2138297.8723323,2138297.8723323,2017021.27658808,0.0,0.0,0.0,0.0,1676595.74467448,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
5015809.329768170,4999999.999981,4999999.999981,5024777.825512820,0.0,0.0,15809.330244620800,0.0,0.0,0.0,8968.494909540390,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
3998703.719133740,3914893.6170064,3914893.6170064,4141775.423388520,0.0,0.0,83810.10208478790,0.0,0.0,0.0,143071.70382924400,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
3892739.495729890,3202127.6595623,3202127.6595623,4652412.517003600,0.0,0.0,690611.8365931210,0.0,0.0,0.0,759673.0203162620,0.0,0.0,0.0,"(((HLE,NLE),SSY),HMO)",0
4819148.9361519,4819148.9361519,5241134.752107740,5241134.752107740,2348936.17020384,0.0,0.0,0.0,0.0,1926950.3542480000,0.0,0.0,0.0,0.0,"((SSY,HLE),(NLE,HMO))",0
7610638.29784342,5537234.042532150,4897163.120194160,4897163.120194160,0.0,0.0,0.0,0.0,0.0,640070.9220188440,0.0,0.0,0.0,2073404.25531127,"(((NLE,HMO),HLE),SSY)",0
3914893.6170064,3914893.6170064,4373738.411685510,4366796.238281280,458844.79467910700,0.0,0.0,0.0,0.0,0.0,-6942.173204228940,0.0,0.0,0.0,"(((SSY,HLE),NLE),HMO)",0
